"household.id","sex.ref.person","income.class","region","race.ref.person","family.type","income.rank","population.size","home.type","food","housing","apparel","transportation","healthcare","entertainment","education"
2236364,"female","$50K-$69,999","Northeast","white","other household",0.6559,"125-329 thousand","single family detached",1300,3156,166,1063,360,532,1431
2236555,"male","$70K+","West","white","Husband and wife only",0.7548,"125-329 thousand","single family detached",1495,4577,60,1195,420,49,0
2236594,"male","$70K+","Midwest","white","Husband and wife only",0.7591,"less than 125 thousand","single family detached",3510,1632,0,210,2239.2,505,0
2236915,"male","$70K+","South","white","other household",NA,"less than 125 thousand","single family detached",481,720,963,1738,3687,196,0
2237085,"female","$70K+","Midwest","white","H/W, own children only, oldest child over 17 years old",0.8059,"1.2-4 million","single family detached",2405,2628,0,793,1348,442,0
2237155,"female","$20K-$29,999","West","white","H/W, own children only, oldest child 6-17 years old",NA,"4 million+","high-rise",1001,2296,210,223,0,0,0
2237274,"male","<$5K","Midwest","black","single person",0.0283,"4 million+","apartment or flat",520,626,20,0,0,0,0
2237564,"male","$40K-$49,999","Midwest","white","single person",0.4965,"125-329 thousand","single family detached",1365,3873.5,369,509,0,85,0
2237565,"male","$40K-$49,999","Midwest","white","single person",0.5222,"125-329 thousand","single family detached",1345,3156.75,472,659,75,149,0
2237724,"female","$5K-$9,999","South","black","single person",NA,"less than 125 thousand","apartment or flat",721,720,0,0,0,0,0
2237954,"male","$70K+","South","white","H/W, own children only, oldest child over 17 years old",NA,"1.2-4 million","row or townhouse inner unit",7800,11434,0,3900,0,378,7800
2237995,"female","$40K-$49,999","South","white","other household",NA,"1.2-4 million","apartment or flat",650,4609,505,2574,40,77,0
2238224,"male","$50K-$69,999","Midwest","white","single person",0.5646,"less than 125 thousand","single family detached",1855,2381,128,975,520,990,0
2238445,"female","$20K-$29,999","Northeast","black","single person",NA,"4 million+","duplex",670,3166,80,338,621.2,281,0
2238805,"female","$40K-$49,999","South","white","H/W, own children only, oldest child 6-17 years old",0.554,".33-1.19 million","single family detached",2320,4101,861,1056,1032,550,0
2238905,"female","$30K-$39,999","West","white","other household",NA,"4 million+","3-plex or 4-plex",2522,3560,0,558,0,222,0
2238964,"male","$70K+","South","white","Husband and wife only",NA,"125-329 thousand","single family detached",1235,5927.75,865,1205,1836,865,0
2239335,"female","$70K+","South","white","single person",NA,"125-329 thousand","single family detached",845,2726,30,450,0,265,0
2239475,"male","$40K-$49,999","Northeast","white","Other H/W household",0.5107,"4 million+","single family detached",1690,3043,217,640,0,423,0
2239484,"female","$70K+","West","white","Husband and wife only",NA,"125-329 thousand","single family detached",1228,11255,229,481,40,255,1650
2239684,"male","$70K+","Midwest","white","single person",0.6929,"125-329 thousand","single family detached",836,3403,874,0,202,553,0
2239855,"male","$20K-$29,999","South","black","single person",0.3436,"4 million+","apartment or flat",1365,1966,60,408,30,183,0
2239875,"female","$70K+","South","white","H/W, own children only, oldest child under 6 years old",0.9585,"1.2-4 million","single family detached",3887,8433,917,619,980,708,0
2240014,"female","$70K+","Northeast","white","Husband and wife only",0.5984,"4 million+","single family detached",3510,7531,175,1489,250,1158,0
2240295,"female","$70K+","Midwest","black","H/W, own children only, oldest child over 17 years old",NA,"4 million+","single family detached",1560,3004,994,3439,589.2,224,0
2240365,"male","$40K-$49,999","Midwest","black","H/W, own children only, oldest child 6-17 years old",0.4844,"4 million+","single family detached",2275,3627,150,941,600,150,0
2240705,"female","<$5K","South","black","single person",0.014,"less than 125 thousand","single family detached",2860,1655,120,674,289.2,285,0
2240894,"female","$5K-$9,999","Northeast","white","single person",0.0529,"4 million+","row or townhouse inner unit",0,1291.75,0,0,48,99,0
2241095,"male","$70K+","West","white","H/W, own children only, oldest child under 6 years old",0.9973,"1.2-4 million","single family detached",4000,16090,500,852,0,2434,4880
2241155,"male","$70K+","Midwest","white","other household",0.8514,"4 million+","single family detached",1300,5229,240,1090,110,430,0
2241314,"female","$20K-$29,999","South","white","H/W, own children only, oldest child 6-17 years old",0.3432,"4 million+","duplex",3159,2511,483,861,10,225,0
2241555,"female","$50K-$69,999","Northeast","white","H/W, own children only, oldest child 6-17 years old",0.6371,"125-329 thousand","single family detached",1980,8002,1111,2478,1436,2328,50
2241715,"female","$70K+","South","white","other household",0.8469,"4 million+","apartment or flat",1843,5097,236,1873,1212,1455,500
2241904,"male","$50K-$69,999","Midwest","asian","H/W, own children only, oldest child 6-17 years old",0.6845,"1.2-4 million","duplex",1300,4384,176,1080,635,394,0
2242055,"female","$10K-$14,999","Midwest","white","single person",0.176,"1.2-4 million","duplex",468,888,5,286,758,130,0
2242245,"female","$30K-$39,999","South","white","Other H/W household",NA,"less than 125 thousand","single family detached",3835,2257,400,612,39,1830,0
2242414,"female","$70K+","West","white","single person",NA,"1.2-4 million","single family detached",3250,8133,2500,740,750,739,0
2242415,"female","$70K+","West","white","single person",0.8867,"1.2-4 million","single family detached",3900,9027,2760,1506,1114.2,1828,8100
2242554,"female","$15K-$19,999","West","white","single person",0.2114,"1.2-4 million","row or townhouse inner unit",631,1016,333,75,767.2,334,0
2242565,"female","$20K-$29,999","South","black","single person",0.3293,"4 million+","apartment or flat",1365,2770,127,597,111,0,0
2242694,"male","$50K-$69,999","Midwest","white","Husband and wife only",NA,"4 million+","single family detached",1040,2288,0,779,366,375,0
2242885,"female","$50K-$69,999","South","white","H/W, own children only, oldest child 6-17 years old",NA,"4 million+","single family detached",1690,6101,0,2275,825,262,0
2242994,"male","$15K-$19,999","South","white","single person",0.1801,"less than 125 thousand","single family detached",897,849,0,660,0,18,0
2243175,"male","$30K-$39,999","South","white","single person",0.4137,"1.2-4 million","apartment or flat",2850,4749,370,1953,0,448,0
2243245,"male","$40K-$49,999","Midwest","white","single person",0.4787,"4 million+","row or townhouse inner unit",1950,1890,0,1002,60,240,0
2243315,"male","$20K-$29,999","Midwest","white","Husband and wife only",0.2621,"125-329 thousand","single family detached",390,4622,10,20,0,82,0
2243505,"male","$30K-$39,999","South","white","single person",0.4059,"1.2-4 million","apartment or flat",1755,4155,100,782,0,385,0
2243795,"female","$15K-$19,999","South","white","single person",0.1855,"less than 125 thousand","single family detached",416,1006,149,677,984.2,99,0
2243955,"female","$50K-$69,999","Midwest","white","single person",0.5795,"1.2-4 million","row or townhouse inner unit",1365,3903,313,867,778,958,0
2244005,"female","$70K+","South","white","Husband and wife only",NA,"125-329 thousand","duplex",1705,6586,40,451,396,638,0
2244304,"male","$70K+","Midwest","white","Husband and wife only",0.9836,"4 million+","single family detached",3140,12029,700,2638,2490,1310,0
2244444,"female","$70K+","Midwest","asian","other household",0.7522,"125-329 thousand","high-rise",1586,2610,266,160,0,40,30
2244575,"female","$70K+","Northeast","white","Husband and wife only",NA,"4 million+","single family detached",2535,7257,642,420,1949,325,0
2244715,"female","$40K-$49,999","West","asian","H/W, own children only, oldest child over 17 years old",0.4873,"4 million+","apartment or flat",1040,4035,50,1362,0,8,0
2244844,"male","$30K-$39,999","South","white","single person",0.436,"less than 125 thousand","single family detached",1400,1227,20,588,784,390,0
2244885,"male","$30K-$39,999","South","black","H/W, own children only, oldest child over 17 years old",0.3779,"less than 125 thousand","single family detached",2990,2618,535,1160,24,618,0
2245004,"male","$50K-$69,999","South","white","Husband and wife only",0.649,"125-329 thousand","single family detached",2625,8504,1834,3690,1729.4,893,0
2245394,"female","$20K-$29,999","South","white","Husband and wife only",0.3385,"4 million+","single family detached",1422,2362,0,600,2058.4,389,0
2245535,"female","$40K-$49,999","Midwest","white","single person",0.4945,"4 million+","3-plex or 4-plex",1074,3060,100,1631,230,0,0
2245615,"female","$15K-$19,999","South","white","other household",0.2264,"less than 125 thousand","single family detached",455,2158,22,488,150,408,0
2245835,"male","$30K-$39,999","South","white","Husband and wife only",0.3649,"125-329 thousand","end row or end townhouse",1170,3185,390,19837,0,709,0
2246145,"female","$10K-$14,999","South","white","single person",0.1575,"125-329 thousand","apartment or flat",525,753,87,501,324.2,230,0
2246165,"male","$5K-$9,999","Northeast","white","single person",0.0685,"4 million+","apartment or flat",780,3337,120,240,0,123,0
2246374,"male","$70K+","Midwest","white","H/W, own children only, oldest child over 17 years old",NA,"125-329 thousand","single family detached",2112,2692,539,2944,198,216,0
2246465,"female","$10K-$14,999","Midwest","white","single person",0.1426,"less than 125 thousand","single family detached",390,1242,0,496,6466.2,177,0
2246615,"female","$20K-$29,999",NA,"white","H/W, own children only, oldest child over 17 years old",0.25,NA,"single family detached",1883,3230,145,3040,1890,373,4200
2246874,"male","$10K-$14,999","South","white","single person",NA,"125-329 thousand","3-plex or 4-plex",234,1515,0,0,0,120,0
2246915,"male","$70K+","South","asian","H/W, own children only, oldest child 6-17 years old",0.8383,"4 million+","single family detached",3220,6476,0,19396,480,327,1400
2247014,"female","$70K+","West","white","H/W, own children only, oldest child over 17 years old",NA,"4 million+","single family detached",1978,1246,612,1619,0,414,800
2247274,"male","$40K-$49,999","Midwest","white","Husband and wife only",0.4939,"1.2-4 million","single family detached",2925,2195,0,906,1752,1550,0
2247325,"female","$50K-$69,999","South","white","Husband and wife only",0.6305,".33-1.19 million","single family detached",2795,2157,271,1450,578.4,375,0
2247464,"male","$70K+","Midwest","white","single person",0.7516,"4 million+","single family detached",1950,3704,0,2064,0,225,0
2247634,"female","$70K+","South","white","Other H/W household",0.9215,".33-1.19 million","single family detached",2145,3784,108,533,270,453,0
2247635,"female","$70K+","South","white","Other H/W household",0.8391,".33-1.19 million","single family detached",1950,4136,513,1022,270,311,0
2247975,"male","$40K-$49,999","South","white","Husband and wife only",0.4773,"125-329 thousand","single family detached",1300,1849.5,0,965,280,570,0
2248134,"female","<$5K","South","black","single person",NA,"1.2-4 million","apartment or flat",1105,2971,25,339,0,0,0
2248175,"female","$10K-$14,999","South","white","single person",0.1699,"125-329 thousand","mobile home or trailer",910,1680,0,0,0,75,0
2248285,"male","$50K-$69,999","Midwest","asian","Husband and wife only",0.6392,"4 million+","single family detached",1357,3750,110,980,1680,335,0
2248585,"male","$20K-$29,999","Northeast","white","Husband and wife only",0.3297,"4 million+","apartment or flat",1338,5375,85,30,2070.4,60,0
2248615,"male","$70K+","South","white","H/W, own children only, oldest child 6-17 years old",0.9331,"4 million+","single family detached",2795,6455,35,1000,440,405,0
2248755,"female","$70K+","West","white","H/W, own children only, oldest child over 17 years old",0.8558,"4 million+","single family detached",3380,2468,500,1407,1710,862,252
2248994,"female","$30K-$39,999","Northeast","white","other household",0.26,"4 million+","apartment or flat",3536,3502.75,272,0,1926.2,198,0
2249135,"female","$30K-$39,999","South","white","Husband and wife only",0.3752,"4 million+","single family detached",910,3312,200,1280,655,518,0
2249195,"male","$40K-$49,999","Northeast","white","Husband and wife only",NA,"4 million+","duplex",1105,3055,0,430,480,204,0
2249344,"male","$20K-$29,999","South","white","single person",0.2908,"1.2-4 million","apartment or flat",1586,2560,160,720,60,50,0
2249535,"female","$70K+","Northeast","white","H/W, own children only, oldest child 6-17 years old",0.8784,"4 million+","single family detached",3873,7306,1050,1522,750,905,0
2249585,"female","$20K-$29,999","Northeast","white","single person",0.2868,"4 million+","apartment or flat",325,1247,89,80,289.2,165,0
2249854,"female","$50K-$69,999","South","white","Husband and wife only",0.591,"1.2-4 million","single family detached",2179,3617,0,1348,442,0,0
2249855,"female","$30K-$39,999","South","white","Husband and wife only",NA,"1.2-4 million","single family detached",2176,3389,0,1682,733,0,0
2250015,"female","$70K+","South","white","Husband and wife only",NA,"4 million+","high-rise",1705,5011,0,0,939.4,133,0
2250244,"male","$20K-$29,999","South","white","Husband and wife only",0.2396,".33-1.19 million","single family detached",585,3560,0,40,2951.2,702,0
2250435,"female","$40K-$49,999","West","white","other household",0.5094,"1.2-4 million","single family detached",1040,3369.25,30,788,2276,532,0
2250594,"male","$70K+","Midwest","black","single person",0.5917,"125-329 thousand","single family detached",1235,4136,523,1789,485,282,0
2250785,"female","$70K+","Midwest","white","H/W, own children only, oldest child 6-17 years old",0.9646,"125-329 thousand","single family detached",3942,4262,266,1887,178,380,10
2250985,"female","$70K+","South","asian","Husband and wife only",0.7932,"4 million+","other",1485,7096,459,1104,1289,733,200
2250995,"female","$70K+","South","white","H/W, own children only, oldest child 6-17 years old",0.7655,".33-1.19 million","single family detached",2849,2646,244,1425,403,919,0
2251184,"female","$70K+","West","white","Husband and wife only",0.81,"125-329 thousand","single family detached",1300,1544,290,500,500,687,0
2251335,"female","$30K-$39,999","West","white","Husband and wife only",0.4582,"1.2-4 million","mobile home or trailer",1843,3036,0,737,753.2,1485,0
2251414,"female","$30K-$39,999","West","white","H/W, own children only, oldest child 6-17 years old",0.399,"125-329 thousand","single family detached",3250,5341,496,1170,0,396,30
2251575,"male","$50K-$69,999","South","white","H/W, own children only, oldest child 6-17 years old",0.6317,"125-329 thousand","single family detached",2105,3565.5,330,1598,900,1907,0
2251635,"female","$70K+","West","white","other household",0.7583,"1.2-4 million","single family detached",1913,5387,327,779,1829.4,1423,150
2251764,"female","$20K-$29,999","Midwest","white","Husband and wife only",0.2771,"125-329 thousand","single family detached",964,1873,0,180,1233.4,146,0
2252094,"male","$40K-$49,999","Midwest","asian","H/W, own children only, oldest child 6-17 years old",0.5441,"4 million+","apartment or flat",1170,3232,297,634,742,1069,0
2252095,"male","$70K+","Midwest","asian","H/W, own children only, oldest child 6-17 years old",0.8724,"4 million+","apartment or flat",550,3265,169,633,720,375,450
2252365,"female","$40K-$49,999","South","black","H/W, own children only, oldest child 6-17 years old",0.1276,"125-329 thousand","single family detached",1028,5366,300,300,562,1086,0
2252514,"female","$70K+","South","white","Husband and wife only",0.8194,"1.2-4 million","single family detached",1170,2614,295,1500,100,322,0
2252565,"female","$15K-$19,999","Northeast","white","single person",0.1931,"4 million+","single family detached",1040,1898.5,15,216,557,380,0
2252685,"male","$50K-$69,999","Northeast","white","Husband and wife only",0.5753,"4 million+","single family detached",1560,3645,321,671,1523.4,1212,0
2252854,"female","$70K+","Northeast","white","H/W, own children only, oldest child 6-17 years old",0.8783,".33-1.19 million","single family detached",2490,6990,634,1290,510,1205,0
2252875,"female","$70K+","West","white","other household",0.8833,"125-329 thousand","single family detached",2305,6078,561,1056,750,687,190
2253024,"female","$30K-$39,999","West","white","H/W, own children only, oldest child under 6 years old",0.4327,"125-329 thousand","end row or end townhouse",1885,3240,140,1931,1145,236,0
2253195,"female","$40K-$49,999","West","asian","other household",0.2965,"4 million+","apartment or flat",1950,4173,629,890,586.2,252,0
2253205,"male","$70K+","South","white","H/W, own children only, oldest child 6-17 years old",0.9492,"1.2-4 million","single family detached",2210,4862,126,825,1300,1132,0
2253394,"male","$70K+","Northeast","white","single person",0.9607,"4 million+","high-rise",2602,8534,1110,831,280,460,0
2253495,"male","$50K-$69,999","West","asian","other household",0.3896,"4 million+","duplex",1776,3505,118,1050,578.4,30,0
2253635,"female","$10K-$14,999","Midwest","white","single person",0.1246,"1.2-4 million","end row or end townhouse",1040,13051.5,1250,1417,100,655,428
2253825,"female","$20K-$29,999","South","white","other household",0.2998,"less than 125 thousand","mobile home or trailer",1690,2103.25,0,1486,2380,180,0
2253844,"female","$20K-$29,999","South","multi-race","single person",0.2223,".33-1.19 million","single family detached",715,6643.25,160,661,1310,491,0
2254064,"male","$50K-$69,999","West","white","single person",0.6812,"125-329 thousand","single family detached",1505,4010,203,6486,1881,1084,1625
2254065,"male","$40K-$49,999","West","white","single person",0.5467,"125-329 thousand","single family detached",1091,4498,55,2478,1459,733,1317
2254295,"male","$15K-$19,999","Northeast","white","single person",0.2358,"125-329 thousand","single family detached",1489,2059.75,900,1422,1805.2,348,0
2254345,"female","$15K-$19,999","South","white","single person",0.2283,"less than 125 thousand","mobile home or trailer",650,1088,66,302,505.2,369,0
2254515,"male","$20K-$29,999","South","white","Husband and wife only",0.2468,"1.2-4 million","single family detached",1950,964,135,1050,1172.4,210,0
2254735,"male","$70K+","West","white","Husband and wife only",0.7117,"4 million+","apartment or flat",2805,4685,113,3999,0,948,320
2254795,"female","$30K-$39,999","Northeast","white","single person",0.4567,"4 million+","apartment or flat",1430,1701,0,630,1512,405,0
2255035,"female","$40K-$49,999","West","white","one parent, female, at least one child under 18 years old",0.4738,"4 million+","single family detached",2665,3560,169,1928,0,1234,0
2255175,"female","$30K-$39,999","Midwest","white","Husband and wife only",0.3407,"1.2-4 million","single family detached",1170,797,36,225,578.4,39,0
2255254,"female","$10K-$14,999","West","white","single person",0.1602,"less than 125 thousand","3-plex or 4-plex",741,2220,0,439,0,120,0
2255524,"female","$40K-$49,999","Northeast","white","single person",0.5025,"125-329 thousand","single family detached",845,6200,0,1178,110,447,0
2255595,"male","$15K-$19,999","Northeast","white","single person",0.171,"less than 125 thousand","single family detached",585,1539,0,5591,282,166,0
2255634,"male","$15K-$19,999","South","white","single person",0.2342,"4 million+","mobile home or trailer",585,1308,22,380,364.2,285,0
2255864,"female","$40K-$49,999","Midwest","white","single person",NA,"125-329 thousand","single family detached",1027,2472.75,327,347,424.2,315,0
2256025,"female","$50K-$69,999","Northeast","white","Other H/W household",0.6718,"125-329 thousand","single family detached",884,3666,42,225,2779,177,0
2256075,"male","$20K-$29,999","West","asian","other household",0.2946,"1.2-4 million","apartment or flat",585,2883,94,609,0,30,0
2256245,"female","$70K+","South","asian","Husband and wife only",0.9792,"125-329 thousand","single family detached",2275,2299,1696,750,2213,0,0
2256315,"male","$70K+","Northeast","white","Husband and wife only",0.6888,"4 million+","apartment or flat",1690,4259,530,1812,1100,295,0
2256405,"male","$30K-$39,999","South","white","H/W, own children only, oldest child 6-17 years old",0.4551,"less than 125 thousand","single family detached",1204,3831,442,1409,819,469,0
2256554,"female","$10K-$14,999","South","white","single person",0.1126,"less than 125 thousand","single family detached",750,1451.75,216,600,1350,272,0
2256625,"female","$70K+","Northeast","white","other household",0.8348,"4 million+","single family detached",3837,6878,77,2884,2004,560,0
2256714,"female","$70K+","South","white","Husband and wife only",0.7229,"1.2-4 million","single family detached",2470,2002,0,900,0,279,0
2256934,"female","$5K-$9,999","West","white","H/W, own children only, oldest child 6-17 years old",0.0482,"less than 125 thousand","mobile home or trailer",1170,3480,0,600,0,0,0
2256935,"female","<$5K","West","white","H/W, own children only, oldest child 6-17 years old",0.0429,"less than 125 thousand","mobile home or trailer",1430,3495,245,900,0,110,0
2257175,"female","$40K-$49,999","West","white","single person",0.4731,"125-329 thousand","single family detached",1235,1814,55,530,1244.2,1246,0
2257434,"male","$70K+","South","white","Husband and wife only",0.7274,"1.2-4 million","single family detached",1625,2502,505,1925,1288,331,0
2257495,"female","$50K-$69,999","South","white","H/W, own children only, oldest child over 17 years old",0.6661,"4 million+","single family detached",1586,3404,300,1370,1648.4,983,0
2257734,"female","$30K-$39,999","West","white","single person",NA,"1.2-4 million","single family detached",1040,1735.5,135,910,529.2,230,0
2257944,"male","$20K-$29,999","South","white","Husband and wife only",0.3576,"4 million+","single family detached",1300,1375.5,246,780,2499.4,75,0
2258015,"female","$10K-$14,999","South","black","other household",0.1683,"less than 125 thousand","mobile home or trailer",910,893,105,0,60,0,0
2258205,"male","$50K-$69,999","South","white","Husband and wife only",0.6412,"125-329 thousand","single family detached",2366,2496,437,841,4688.4,372,0
2258354,"male","$30K-$39,999","South","white","single person",0.3883,"1.2-4 million","mobile home or trailer",1690,1190,40,501,0,1110,0
2258485,"female","$70K+","Northeast","white","H/W, own children only, oldest child 6-17 years old",0.118,"125-329 thousand","single family detached",2950,2037,1548,2103,875,326,4535
2258554,"female","$10K-$14,999","Midwest","white","single person",0.1446,"less than 125 thousand","mobile home or trailer",585,778,53,75,1149.2,6,0
2258825,"male","$20K-$29,999","West","white","single person",0.3256,"1.2-4 million","single family detached",2015,1255,38,838,0,0,0
